average_time,mutation_type,distance
2,nonsyn_distance,0
2,syn_distance,0
3,nonsyn_distance,0.010895848682472065
3,syn_distance,0.010255739002293263
4,nonsyn_distance,0.024981992128917718
4,syn_distance,0.016180624119095044
5,nonsyn_distance,0.047580946447577044
5,syn_distance,0.02759610123895595
6,nonsyn_distance,0.08358784070193115
6,syn_distance,0.03997976151235183
7,nonsyn_distance,0.10312169842837116
7,syn_distance,0.05388909021897037
8,nonsyn_distance,0.11917103377192773
8,syn_distance,0.061876721047129823
9,nonsyn_distance,0.11419056937866112
9,syn_distance,0.058086531721621704
10,nonsyn_distance,0.10796788283796777
10,syn_distance,0.062083341140637405
11,nonsyn_distance,0.10678749038498869
11,syn_distance,0.06023499032887614
12,nonsyn_distance,0.09874417660925383
12,syn_distance,0.057498144845142596
13,nonsyn_distance,0.09222355001295812
13,syn_distance,0.05588126740345001
14,nonsyn_distance,0.09781213771997332
14,syn_distance,0.05294302685071206
15,nonsyn_distance,0.10210644459838814
15,syn_distance,0.05538898844812645
16,nonsyn_distance,0.10880499456772363
16,syn_distance,0.052728614907446514
17,nonsyn_distance,0.11220940863309059
17,syn_distance,0.051447213297974304
18,nonsyn_distance,0.11093684754915056
18,syn_distance,0.04854590866766961
19,nonsyn_distance,0.10604189878187309
19,syn_distance,0.04950503375909554
20,nonsyn_distance,0.1025620853164938
20,syn_distance,0.05490834560733571
21,nonsyn_distance,0.10129332729605223
21,syn_distance,0.05913287977549564
0,nonsyn_distance,0
0,syn_distance,0
